Tool Name,Reference URL,Generative AI Ecosystem Layer,Content Type,Primary Enterprise Category,Complimentary Enterprise Category,Free Version Option,Paid Version Option,Licensing Type,Tool Description
Vertex AI,https://cloud.google.com/vertex-ai,Cloud Services,Code,Development - Code Writing,,Free Trial,Subscription-based,Proprietary,"Vertex AI is an end-to-end machine learning platform that simplifies building, deploying, and scaling ML models. It offers AutoML for code-free model training, AI Platform Pipelines for automation, and MLOps features for production management"
PalM2,https://ai.google/discover/palm2/,Foundation Models,Text,General Purpose,Development - Technical Documentation,,,Proprietary,"PaLM 2 is Google's advanced AI language model that represents a significant step forward in the company's efforts to create sophisticated, text-based task-oriented AI systems. It is the successor to PaLM 1, which was announced in April 2022, and has been designed to be much better at a range of text-based tasks, including reasoning, coding, and translation.The model is part of a family of products that come in different sizes, named Gecko, Otter, Bison, and Unicorn, from smallest to largest. These versions are tailored for deployment in various consumer and enterprise settings. PaLM 2 has been fine-tuned on domain-specific data to enhance its performance in particular areas.Google has not released exhaustive details about the training data used for PaLM 2, but it has indicated that the model's training corpus includes a diverse set of sources such as web documents, books, code, mathematics, and conversational data.PaLM 2's capabilities have been integrated into Google Bard, the company's AI chatbot, and are also being used to power features like ""Help me Write"" in Gmail. While Google has not made Med-PaLM 2 publicly available, it plans to grant access to a small group of trusted testers initially.Software developers can now access PaLM 2 programmatically via APIs, which opens the possibility for other companies to utilize Google's large language model in their own products and services, similar to how Duolingo and Khan Academy have adopted GPT-4 for AI-powered features.Overall, PaLM 2 is a testament to Google's ongoing investment in AI research and development, aiming to provide more intelligent and versatile AI tools for a wide range of applications."
Codey,https://cloud.google.com/vertex-ai/docs/generative-ai/code/code-models-overview,Cloud Services,Code,Development - Code Writing,Development - Technical Documentation,,,Proprietary,"The Vertex AI Codey APIs are powered by the PaLM 2 model and allow you to generate, complete, and discuss code using generative AI. These APIs cover code generation, code completion, and code chat for various programming languages. While still in development, they promise to automate tasks, expedite coding, and aid in debugging."
Imagen,https://imagen.research.google/,Cloud Services,Image,Design - Visuals Generation,Design - Wireframing and Prototyping,,,Proprietary,"Imagen on Vertex AI is a generative AI service that uses the LaMDA language model to create high-quality images from text prompts. It can generate a wide range of images, from realistic to creative, based on user input. Imagen is versatile and can generate images of various subjects, sizes, and styles, making it a valuable tool for visual content creation."
Chirp,https://cloud.google.com/speech-to-text/v2/docs/chirp-model,Cloud Services,Text,Marketing - Speech Generation,People - Employee Engagement,,,Proprietary,"Chirp is Google's advanced speech-to-text model trained on audio data and text sentences. It accurately transcribes speech in various languages and accents and is available through the Speech-to-Text API v2. Chirp's improved accuracy, multilingual capabilities, and efficiency make it a powerful tool for applications like call centers, voice assistants, transcription services, and more."
Vertex AI Workbench,https://cloud.google.com/vertex-ai-workbench,Applications,Code,Development - Code Writing,Development - Technical Documentation,,,Proprietary,"Vertex AI Workbench is a managed JupyterLab environment designed for seamless machine learning model development, training, and deployment on Google Cloud Platform. Built on Google Kubernetes Engine (GKE), it offers scalability, reliability, and integration with other Google Cloud services. Vertex AI Workbench empowers data scientists and ML engineers to work efficiently throughout the machine learning lifecycle."
AI Infrastructure,https://cloud.google.com/ai-infrastructure,Infrastructure,,,,,,Proprietary,"AI Infrastructure encompasses both hardware and software components essential for building, testing, training, and deploying AI-powered applications. It includes CPUs, GPUs, TPUs, machine learning frameworks, libraries, tools, and cloud platforms. While complex and evolving, AI Infrastructure empowers businesses to accelerate AI app development, enhance model performance, and reduce costs."
AutoML,https://cloud.google.com/automl,Cloud Services,Text,Development - Code Writing,Development - Technical Documentation,,,Proprietary,"Google Cloud AutoML is a suite of machine learning services designed to simplify the process of building and deploying high-quality machine learning models, even for developers with limited expertise. It automates data preparation, feature engineering, model training, and evaluation for various tasks such as image and text classification. With scalability, accuracy, and security, Google Cloud AutoML empowers developers to create models faster and more efficiently."
Natural Language AI,https://cloud.google.com/natural-language,Cloud Services,Text,Marketing - Content Generation,Development - Code Writing,,,Proprietary,"Google Cloud Natural Language offers a suite of APIs designed to understand the meaning of text. With capabilities for extracting information, identifying entities, and gauging sentiment, this tool is valuable for text analysis, translation, and question answering. It empowers developers to create applications that interact with human language accurately, securely, and with ease, regardless of their natural language processing expertise."
Speech-To-Text,https://cloud.google.com/speech-to-text,Cloud Services,Text,Marketing - Content Generation,,,,Proprietary,"Google Cloud Speech-to-Text is a cloud-based service designed to convert speech to text accurately. It supports transcribing audio files, live audio streams, and video files, offering capabilities for multiple languages. This powerful tool is ideal for creating transcripts for meetings, lectures, adding captions to videos, and more. With accuracy, scalability, security, and ease of use, Google Cloud Speech-to-Text is a valuable asset for speech recognition tasks."
